idAirTable,direccion,fechaDeCarga,barrio,ciudad,cpc,zona,calle,altura,tipo,superficie,piso,dormitorios,categoria,precioUS,latitud,longitud
recikPQWOJA2wjHx5,"Amalia Sanchez Ariño 3700 Ciudad de Cordoba, Provincia de Córdoba, Argentina",6/9/2021,Los Alamos,Ciudad de Cordoba,Centroamérica,Nor Este,Amalia Sanchez Ariño,3609,FORMA PARTE DE UN PH ,81.60,1,2,BAJA,9500,-31.36629540,-64.15941810
recM6OHl05uunCMQn,"Pje GOULD 600 Ciudad de Cordoba, Provincia de Córdoba, Argentina",6/9/2021,Observatorio,Ciudad de Cordoba,Mercado Central,Central,Pje GOULD,556,EDIFICIO DE DEPARTAMENTOS,25.00,2,MONOAMBIENTE,BAJA,12000,-31.42139480,-64.19747890
recIXYEOhuzI9zbAO,"Rincon 300 Ciudad de Cordoba, Provincia de Córdoba, Argentina",1/4/2018,Centro Norte (Av. Colon hacia el Río),Ciudad de Cordoba,Mercado Central,Central,Rincon,210,EDIFICIO DE DEPARTAMENTOS,39.66,1,1,BAJA,18000,-31.41207200,-64.18844570
recRf7Vu7l39FdJvM,"SAN JOSE DE CALAZANS 300 Ciudad de Cordoba, Provincia de Córdoba, Argentina",1/4/2019,Alberdi,Ciudad de Cordoba,Mercado Central,Central,SAN JOSE DE CALAZANS,300,EDIFICIO DE DEPARTAMENTOS,33.00,2,1,BAJA,21000,-31.41484410,-64.19690720
recsbm5OMxOm0Q4AR,"Tucumán 100 Ciudad de Cordoba, Provincia de Córdoba, Argentina",1/4/2018,Centro Sud (Av Colon hacia Nva Cba),Ciudad de Cordoba,Mercado Central,Central,Tucumán,56,EDIFICIO DE DEPARTAMENTOS,39.30,6,MONOAMBIENTE,ESTANDAR,22000,-31.41380290,-64.18758490
recOTcahd8K76N3we,"Mejico 1300 Ciudad de Cordoba, Provincia de Córdoba, Argentina",6/9/2021,General Pueyrredon,Ciudad de Cordoba,Pueyrredon,Este,Mejico,1214,EDIFICIO DE DEPARTAMENTOS,43.32,1,1,ESTANDAR,22500,-31.40017120,-64.16281160
recXgc87nmcveSyF7,"Arturo Oragaz 100 Ciudad de Cordoba, Provincia de Córdoba, Argentina",1/4/2018,Alberdi,Ciudad de Cordoba,Mercado Central,Central,Arturo Oragaz,55,EDIFICIO DE DEPARTAMENTOS,28.00,PLANTA BAJA,1,BAJA,22600,-31.40736070,-64.20854800
recsCv3zdVyC2FJR9,"Mejico 1300 Ciudad de Cordoba, Provincia de Córdoba, Argentina",9/8/2022,General Pueyrredon,Ciudad de Cordoba,Pueyrredon,Este,Mejico,1214,EDIFICIO DE DEPARTAMENTOS,43.60,PLANTA BAJA,1,ESTANDAR,23150,-31.40017120,-64.16281160
recjf1gN9I1WX4JEm,"Mejico 1300 Ciudad de Cordoba, Provincia de Córdoba, Argentina",1/4/2018,General Pueyrredon,Ciudad de Cordoba,Pueyrredon,Este,Mejico,1214,EDIFICIO DE DEPARTAMENTOS,44.31,1,1,ESTANDAR,23150,-31.40017120,-64.16281160
rec2UiKlzhrmQz2kn,"Duarte Quiros 300 Ciudad de Cordoba, Provincia de Córdoba, Argentina",1/4/2018,Centro Sud (Av Colon hacia Nva Cba),Ciudad de Cordoba,Mercado Central,Central,Duarte Quiros,271,EDIFICIO DE DEPARTAMENTOS,35.00,5,MONOAMBIENTE,ESTANDAR,24000,-31.41810470,-64.18947410
